Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	RideProp1Type	RideProp1PA1Min	RideProp1PA1Max	RideProp1PA2Min	RideProp1PA2Max	RideProp1PA3Min	RideProp1PA3Max	RideProp2Type	RideProp2PA1Min	RideProp2PA1Max	RideProp2PA2Min	RideProp2PA2Max	RideProp2PA3Min	RideProp2PA3Max	RideProp3Type	RideProp3PA1Min	RideProp3PA1Max	RideProp3PA2Min	RideProp3PA2Max	RideProp3PA3Min	RideProp3PA3Max	RideProp4Type	RideProp4PA1Min	RideProp4PA1Max	RideProp4PA2Min	RideProp4PA2Max	RideProp4PA3Min	RideProp4PA3Max	RideProp5Type	RideProp5PA1Min	RideProp5PA1Max	RideProp5PA2Min	RideProp5PA2Max	RideProp5PA3Min	RideProp5PA3Max	RideProp6Type	RideProp6PA1Min	RideProp6PA1Max	RideProp6PA2Min	RideProp6PA2Max	RideProp6PA3Min	RideProp6PA3Max	UnLockInterval
Mã bài (Trục Nhật)	vn	1	1	12	38	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt.<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, dùng Vô Hạn Truyền Tống Phù có thể đến được 		0	1	7200000			2		horse	24	24	damage_all_resist	0	0																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Mã bài (Lăng Thiên)	vn	1	1	12	39	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt.<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, dùng Vô Hạn Truyền Tống Phù có thể đến được 		0	1	7200000			2		horse	23	23	damage_all_resist	70	70																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Ức Vân	Ức Vân	1	1	12	40	4	\image\item\equip\horse\ma32a1.spr	\image\item\equip\horse\ma32a0.spr	32	Quân như tiểu dạ y hi hậu, hoa nhan túy duyệt nhược tam thu.<enter><color=yellow>Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt Nữ anh hùng.<color>		0	1	7200000			2		horse	26	26																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	800	800	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0															
Tuyết Hồn	Tuyết Hồn_Thú cưỡi Di Tích Hàn Vũ	1	1	12	41	4	\image\item\equip\horse\horse002_s.spr	\image\item\equip\horse\horse013.spr	32	<color=gold>Hàn phong trường mạc mạc, ngọ hậu chinh tứ phương<color><enter><color=gold>Tuyết hồn thích ly thương, ngạo tuyết độc phi dương<color><enter><color=green>Đoạt Tuyết hồn giả tất phải dũng cảm thẳng tiến<color>		0	1	2000000			2		horse	27	27																																																																							5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Sứ giả Truy Phong	Sứ giả Truy Phong_Lam Kỳ Lân	1	1	12	42	4	\image\item\equip\horse\lanqilin_s.spr	\image\item\equip\horse\lanqilin.spr	32	<color=gold>Thú cưỡi VIP Kiếm Thế 2010.<color>		0	1	7200000			2		horse	28	28																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Mã bài (Trục Nhật)	vn	1	1	12	43	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt.<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, dùng Vô Hạn Truyền Tống Phù có thể đến được 		0	1	7200000			4		horse	24	24	damage_all_resist	60	60																																																																				5	120																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Lăng Thiên)	vn	1	1	12	44	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt.<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, dùng Vô Hạn Truyền Tống Phù có thể đến được 		0	1	7200000			4		horse	23	23	damage_all_resist	70	70					allskill_v	1	1	1	1			allskill_v	1	1	2	2			lifemax_v	5000	5000	-1	-1																																													5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Xích Thố)	Mã bài (Xích Thố)-vn	1	1	12	45	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse010.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt thời Tam Quốc, toàn thân đỏ như lửa, không có sợi lông tạp nào.		0	1	2000000			2		horse	10	10	damage_all_resist	0	0																																																																				5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	500	500	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Tuyết Hồn	vn	1	1	12	46	4	\image\item\equip\horse\horse002_s.spr	\image\item\equip\horse\horse013.spr	32	<color=gold>Hàn phong trường mạc mạc, ngọ hậu chinh tứ phương<color><enter><color=gold>Tuyết hồn thích ly thương, ngạo tuyết độc phi dương<color><enter><color=green>Đoạt Tuyết hồn giả tất phải dũng cảm thẳng tiến<color>		0	1	2000000			2		horse	27	27	damage_all_resist	60	60																																																																				5	110																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	600	600	-1	-1	0	0	
Ức Vân	Ức Vân-vn	1	1	12	47	4	\image\item\equip\horse\ma32a1.spr	\image\item\equip\horse\ma32a0.spr	32	Quân như tiểu dạ y hi hầu, hoa nhan túy duyệt nhược tam thu.		0	1	7200000			4		horse	26	26	damage_all_resist	70	70					allskill_v	1	1	1	1										lifemax_v	5000	5000	-1	-1																																													5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	800	800	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Hỏa Kỳ Lân	Bảng Phong Vân 2010_Hỏa Kỳ Lân	1	1	12	48	4	\image\item\equip\horse\huoqilin_s.spr	\image\item\equip\horse\huoqilin.spr	32	Bảng Phong Vân 2010_Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt.<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, giúp Vô Hạn Truyền Tống Phù có thể đi đến nhiều nơi hơn		0	1	7200000			2		horse	29	29																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	800	800	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Tuyết Hồn	Vĩnh viễn không khóa	1	1	12	20000	4	\image\item\equip\horse\horse002_s.spr	\image\item\equip\horse\horse013.spr	32	<color=gold>Hàn phong trường mạc mạc, ngọ hậu chinh tứ phương<color><enter><color=gold>Tuyết hồn thích ly thương, ngạo tuyết độc phi dương<color><enter><color=green>Đoạt Tuyết hồn giả tất phải dũng cảm thẳng tiến<color>		0	1	2000000			4		horse	27	27	damage_all_resist	60	60					allskill_v	1	1	1	1																																																											5	110																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	600	600	-1	-1	0	0	604800
Mã bài (Phiên Vũ)	Mã bài 120vn (Phiên Vũ)	1	1	12	20001	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	7200000			2		horse	12	12	damage_all_resist	70	70					allskill_v	5	5	1	1			allskill_v	5	5	4	4			lifemax_v	5000	5000	-1	-1																																													5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Bạch Lộc	Bạch Lộc	1	1	12	49	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_bailu.spr	32	Thú cưỡi hiệp lữ-Bạch Lộc, phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	30	30																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Lạc Đà Đỏ	Lạc Đà Đỏ	1	1	12	50	4	\image\item\equip\horse\icon_sutuvang_s.spr	\image\item\equip\horse\icon_sutuvang_l.spr	32	Phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	31	31	damage_all_resist	70	70					allskill_v	5	5	1	1			allskill_v	5	5	4	4			lifemax_v	5000	5000	-1	-1																																													5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Bạch Mao Sư Tử	Bạch Mao Sư Tử	1	1	12	51	4	\image\item\equip\horse\icon_sututrang_s.spr	\image\item\equip\horse\icon_sututrang_l.spr	32	Phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	32	32																																																																							5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Lạc Đà Xanh Dương	Lạc Đà Xanh Dương	1	1	12	52	4	\image\item\equip\horse\icon_lacdanau_s.spr	\image\item\equip\horse\icon_lacdanau_l.spr	32	Phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	33	33	damage_all_resist	70	70					allskill_v	5	5	1	1			allskill_v	5	5	4	4			lifemax_v	5000	5000	-1	-1																																													5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Lạc Đà Trắng	Lạc Đà Trắng	1	1	12	53	4	\image\item\equip\horse\icon_lacdatrang_s.spr	\image\item\equip\horse\icon_lacdatrang_l.spr	32	Phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	34	34	damage_all_resist	70	70					allskill_v	5	5	1	1			allskill_v	5	5	4	4			lifemax_v	5000	5000	-1	-1																																													5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Lạc Đà Xanh Nước Biển	Lạc Đà Xanh Nước Biển	1	1	12	54	4	\image\item\equip\horse\icon_sieuquangjx_s.spr	\image\item\equip\horse\icon_sieuquangjx_l.spr	32	Phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	35	35	damage_all_resist	70	70					allskill_v	5	5	1	1			allskill_v	5	5	4	4			lifemax_v	5000	5000	-1	-1																																													5	60																																																											fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0															
Tuyệt Thế Tuyết Vũ	Tuyệt Thế Tuyết Vũ	1	1	12	55	4	\image\item\equip\horse\icon_tuyetthetuyetvu_s.spr	\image\item\equip\horse\icon_tuyetthetuyetvu.spr	32	Một con ngựa trắng cao quý, linh hoạt kỳ ảo. Lộ rõ sự thanh nhã cao quý , thế gian hiếm thấy		0	1	7200000			4		horse	36	36																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Hãn Huyết Thần Mã	Hãn Huyết Thần Mã	1	1	12	61	4	\image\item\equip\horse\horse017_s.spr	\image\item\equip\horse\horse017.spr	32	Là 1 loài ngựa mồ hôi đỏ như máu		0	1	7200000			2		horse	37	37																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Mã bài (Trục Nhật)	vn	1	1	12	62	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt.<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, dùng Vô Hạn Truyền Tống Phù có thể đến được 		0	1	7200000			2		horse	24	24																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Hắc mã cuồng chiến	Hắc mã cuồng chiến	1	1	12	63	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt 		0	1	7200000			2		horse	53	53																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Hắc mã huyết giác	Hắc mã huyết giác	1	1	12	64	4	\image\item\equip\horse\heianzhiwen_s.spr	\image\item\equip\horse\heianzhiwen.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt		0	1	7200000			2		horse	56	56																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Ức Vân	Ức Vân	1	1	12	65	4	\image\item\equip\horse\ma32a1.spr	\image\item\equip\horse\ma32a0.spr	32	Quân như tiểu dạ y hi hậu, hoa nhan túy duyệt nhược tam thu.<enter><color=yellow>Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt Nữ anh hùng.<color>		0	1	7200000			2		horse	26	26																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	150	150	-1	-1	0	0	staminamax_v	150	150	-1	-1	0	0	allskill_v	1	1			1417	1417								
Ức Vân	Phiên Vũ	1	1	12	89	4	\image\item\equip\horse\ma32a1.spr	\image\item\equip\horse\ma32a0.spr	32	Quân như tiểu dạ y hi hậu, hoa nhan túy duyệt nhược tam thu.<enter><color=yellow>Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt Nữ anh hùng.<color>		0	1	7200000			2		horse	26	26	damage_all_resist	30	30																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Lăng Thiên)	Phiên Vũ	1	1	12	98	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt		0	1	7200000			2		horse	23	23	damage_all_resist	30	30																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Lăng Thiên- Đặc biệt	Phiên Vũ	1	1	12	99	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt		0	1	14400000			2		horse	23	23	damage_all_resist	30	30																																								lifemax_p	10	10																			skilldamageptrim	3	3					5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Xích Thố)	Mã bài (Xích Thố)	1	1	12	100	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse010.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt thời Tam Quốc, toàn thân đỏ như lửa, không có sợi lông tạp nào.		0	1	2000000			2		horse	10	10																																																																							5	50																																																											fastwalkrun_p	80	80	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	90	90	-1	-1	0	0	staminamax_v	90	90	-1	-1	0	0															
Mã bài (Phiên Vũ)	Mã bài (Phiên Vũ)	1	1	12	101	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	7200000			2		horse	12	12																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Đích Lô)	Mã bài (Đích Lô)	1	1	12	102	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse006.spr	32	Ngựa của Lưu Bị thời Tam quốc, ngựa quý hiếm có		0	480000	480000			2		horse	6	6																																																																							5	50																																																											fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	250	250	-1	-1	0	0	armordefense_v	50	50	-1	-1	0	0	staminamax_v	50	50	-1	-1	0	0															
Mã bài (Phiên Vũ)	Vĩnh viễn	1	1	12	103	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	7200000			2		horse	12	12	damage_all_resist	30	30																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Phiên Vũ)	Vĩnh viễn	1	1	12	104	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	7200000			2		horse	12	12	damage_all_resist	60	60																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Phiên Vũ)	Vĩnh viễn	1	1	12	105	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	144000000			2		horse	12	12	damage_all_resist	60	60																																																																				5	80																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Phiên Vũ)	Vĩnh viễn	1	1	12	106	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	72000000			2		horse	12	12	damage_all_resist	60	60																																																																				5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Mã bài (Bôn Tiêu)	Mã bài (Bôn Tiêu)	1	1	12	107	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse011.spr	32	Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt thời Tam Quốc, toàn thân đỏ như lửa, không có sợi lông tạp nào.		0	1	2000000			2		horse	11	11																																																																							5	50																																																											fastwalkrun_p	90	90	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	90	90	-1	-1	0	0	staminamax_v	90	90	-1	-1	0	0															
Mã bài (Bôn Tiêu)	Mã bài (Bôn Tiêu)	1	1	12	108	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse011.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	7200000			2		horse	11	11																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Ức Vân	Vĩnh viễn	1	1	12	109	4	\image\item\equip\horse\ma32a1.spr	\image\item\equip\horse\ma32a0.spr	32	Quân như tiểu dạ y hi hậu, hoa nhan túy duyệt nhược tam thu.<enter><color=yellow>Một trong tám con ngựa của Chu Mục Vương, chạy nhanh như cắt Nữ anh hùng.<color>		0	1	144000000			2		horse	26	26	damage_all_resist	90	90																																																																				5	90																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
Hoan Hoan	Mã bài (Xích Thố)	1	1	12	110	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_baihu.spr	32	Thú cưỡi hiệp lữ-Bạch Hổ, phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	2000000			2		horse	22	22																																																																							5	50																																																											fastwalkrun_p	90	90	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	90	90	-1	-1	0	0	staminamax_v	90	90	-1	-1	0	0															
Hoan Hoan	Mã bài (Phiên Vũ)	1	1	12	111	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\hl_baihu.spr	32	Thú cưỡi hiệp lữ-Bạch Hổ, phẩm chất tốt hợp với dáng của chủ nhân, thể hiện thân phận cao quý.		0	1	7200000			2		horse	22	22																																																																							5	50																																																											fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
