Level	UpgardeExp1	Value1	UpgardeExp2	Value2	UpgardeExp3	Value3	UpgardeExp4	Value4	UpgardeExp5	Value5
363	8350000	263500000	8350000	263500000	835000	263500000	8350000	263500000	8350000	263500000
364	8400000	264500000	8400000	264500000	840000	264500000	8400000	264500000	8400000	264500000
365	8450000	265500000	8450000	265500000	845000	265500000	8450000	265500000	8450000	265500000
366	8500000	266500000	8500000	266500000	850000	266500000	8500000	266500000	8500000	266500000
367	8550000	267500000	8550000	267500000	855000	267500000	8550000	267500000	8550000	267500000
368	8600000	268500000	8600000	268500000	860000	268500000	8600000	268500000	8600000	268500000
369	8650000	269500000	8650000	269500000	865000	269500000	8650000	269500000	8650000	269500000
370	8700000	270500000	8700000	270500000	870000	270500000	8700000	270500000	8700000	270500000
371	8750000	271500000	8750000	271500000	875000	271500000	8750000	271500000	8750000	271500000
372	8800000	272500000	8800000	272500000	880000	272500000	8800000	272500000	8800000	272500000
373	8850000	273500000	8850000	273500000	885000	273500000	8850000	273500000	8850000	273500000
374	8900000	274500000	8900000	274500000	890000	274500000	8900000	274500000	8900000	274500000
375	8950000	275500000	8950000	275500000	895000	275500000	8950000	275500000	8950000	275500000
376	9000000	276500000	9000000	276500000	900000	276500000	9000000	276500000	9000000	276500000
377	9050000	277500000	9050000	277500000	905000	277500000	9050000	277500000	9050000	277500000
378	9100000	278500000	9100000	278500000	910000	278500000	9100000	278500000	9100000	278500000
379	9150000	279500000	9150000	279500000	915000	279500000	9150000	279500000	9150000	279500000
380	9200000	280500000	9200000	280500000	920000	280500000	9200000	280500000	9200000	280500000
381	9250000	281500000	9250000	281500000	925000	281500000	9250000	281500000	9250000	281500000
382	9300000	282500000	9300000	282500000	930000	282500000	9300000	282500000	9300000	282500000
383	9350000	283500000	9350000	283500000	935000	283500000	9350000	283500000	9350000	283500000
384	9400000	284500000	9400000	284500000	940000	284500000	9400000	284500000	9400000	284500000
385	9450000	285500000	9450000	285500000	945000	285500000	9450000	285500000	9450000	285500000
386	9500000	286500000	9500000	286500000	950000	286500000	9500000	286500000	9500000	286500000
387	9550000	287500000	9550000	287500000	955000	287500000	9550000	287500000	9550000	287500000
388	9600000	288500000	9600000	288500000	960000	288500000	9600000	288500000	9600000	288500000
389	9650000	289500000	9650000	289500000	965000	289500000	9650000	289500000	9650000	289500000
390	9700000	290500000	9700000	290500000	970000	290500000	9700000	290500000	9700000	290500000
391	9750000	291500000	9750000	291500000	975000	291500000	9750000	291500000	9750000	291500000
392	9800000	292500000	9800000	292500000	980000	292500000	9800000	292500000	9800000	292500000
393	9850000	293500000	9850000	293500000	985000	293500000	9850000	293500000	9850000	293500000
394	9900000	294500000	9900000	294500000	990000	294500000	9900000	294500000	9900000	294500000
395	9950000	295500000	9950000	295500000	995000	295500000	9950000	295500000	9950000	295500000
396	10000000	296500000	10000000	296500000	1000000	296500000	10000000	296500000	10000000	296500000
397	10050000	297500000	10050000	297500000	1005000	297500000	10050000	297500000	10050000	297500000
398	10100000	298500000	10100000	298500000	1010000	298500000	10100000	298500000	10100000	298500000
399	10150000	299500000	10150000	299500000	1015000	299500000	10150000	299500000	10150000	299500000
400	10200000	300500000	10200000	300500000	1020000	300500000	10200000	300500000	10200000	300500000
