SkillName	Property	SkillId	SkillType	SkillForm	StartPosition	Kind	SkillStyle	SkillGenus	ReplaceType	AppendDamageP	ShotNumber	FactionLimit	RouteLimit	SkillIcon	PreCastEffectId	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	StateTime	IsNoClearOnDeath	StateType	IsAura	LRSkill	NeedShadow	AttackRadius	IgnoreDistance	MslsGenerate	MslsGenerateData	ChildSkillId	ChildSkillLevel	ChildSkillNum	IsMissileSkill	CastActionId	EventSkillLevel	IsMelee	WaitTime	ClientOnly	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	IsDamage	TargetOnly	Relation	IsUseAR	StartSkillId	FlySkillId	FlyEventTime	CollidSkillId	VanishedSkillId	HitSkillId	ReqLevel	MaxLevel	WeaponLimit	HorseLimit	AngerLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	ClassName	SkillDesc
Long Thôn Thức_Tử	Chủ động tấn công ngoại công	203	5	2	1		meleephysicalattack	1			1							0	0	0			0	0	0	0	0	0	0	131	-1	3	1	9	-1	1	0	0	0	0	0	0	1	1	0	enemy	1	874	0	0	0	0	0	0	20	16	0	0	0	32		0					0	0	0	2	1	longtunshi	
Trấn Ngục Phá Thiên Kình	Hỗ trợ bị động	204	3					1			-1			\image\icon\fightskill\mingjiao\zhenyupotianjin.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	zhenyupotianjin	Tuyệt học Minh Giáo, tăng xác suất hiệu quả tấn công và tốc độ xuất chiêu.
Thánh Hỏa Phần Tâm	Chủ động tấn công nội công	205	5	1	2		rangemagicattack	1			-1			\image\icon\fightskill\mingjiao\shenghuofenxin.spr	271			0	0	0			0	0	0	520	0	0	0	132	-1	1	1	11	0	0	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	10	20	12	1	0	0	0		0					0	0	0	2	1	shenghuofenxin	Dị thuật sơ cấp Minh Giáo, phóng lửa âm lên mục tiêu.
Minh Giáo Kiếm Pháp	Hỗ trợ bị động	206	3					1			-1			\image\icon\fightskill\mingjiao\mingjiaojianfa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	mingjiaojianfa	Kiếm pháp nhập môn Minh Giáo, tăng sát thương kiếm.
Di Khí Phiêu Tung	Hỗ trợ bị động	207	3					1			-1			\image\icon\fightskill\mingjiao\miqipiaozong.spr	272	\audio\fightskill\tangmen\tm_mqpz_h.wav	\audio\fightskill\tangmen\tm_mqpz_h.wav	0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	30	10	0	0	0	0	0		0					0	0	0	0	1	miqipiaozong	Có xác suất nhất định né tránh hoàn toàn tấn công hệ nội công.
Vạn Vật Câu Phần	Chủ động tấn công nội công	208	5	4	2		rangemagicattack	1			1			\image\icon\fightskill\mingjiao\wanwujufen.spr	273			0	0	0			0	0	0	520	0	0	0	133	-1	1	1	11	-1	0	0	0	0	0	45	45	0	1	0	enemy	0	248	0	0	0	0	0	50	20	12	1	0	0	0		0					0	1	0	2	1	wanwujufen	Dị thuật Minh Giáo, từ trung tâm phát ra một vòng lửa thiêu đốt đối thủ.
Phiêu Dực Thân Pháp	Hỗ trợ bị động	209	3					1			-1			\image\icon\fightskill\mingjiao\piaoyishenfa.spr	274	\audio\fightskill\gaibang\gb_hbls_h.wav	\audio\fightskill\gaibang\gb_hbls_h.wav	0	0	0			0	3	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	40	20	0	0	0	0	0		0					0	0	0	0	1	piaoyishenfa	Khinh công của Minh Giáo, tăng tốc độ chạy bản thân.
Càn Khôn Đại Na Di	Bùa chú	210	5	1	2		curse	1			-1			\image\icon\fightskill\mingjiao\qiankundanuoyi.spr	275	\audio\fightskill\tianren\tr_hlfh_h.wav	\audio\fightskill\tianren\tr_hlfh_h.wav	45	0	0			0	2	0	800	0	0	0	134	-1	1	1	11	-1	0	0	0	0	0	0	0	0	0	0	enemy	0	883	0	0	0	0	0	60	10	0	0	0	0	0		0					0	0	0	0	1	qiankundanuoyi	Giải trừ trạng thái hỗ trợ của địch và 1 thời gian 0 thể nhận trạng thái hỗ trợ.
Thánh Hỏa Liêu Nguyên	Chủ động tấn công nội công	211	5	6	2		rangemagicattack	1			-1			\image\icon\fightskill\mingjiao\shenghuoliaoyuan.spr	276			0	0	0			0	0	0	520	0	4	9	135	-1	4	1	11	0	0	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	90	20	12	1	0	0	96		0					0	0	0	2	1	shenghuoliaoyuan	Dị thuật Minh Giáo, vô số lửa trên trời rơi xuống tấn công trong phạm vi lớn.
Ly Hỏa Đại Pháp	Hỗ trợ bị động	212	3					1			-1			\image\icon\fightskill\mingjiao\lihuodafa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	lihuodafa	Tuyệt học Minh Giáo, tăng xác suất hiệu quả tấn công và tốc độ xuất chiêu.
Thần Chỉ Điểm Huyệt	Chủ động tấn công ngoại công	213	1	5	1		meleephysicalattack	1			1			\image\icon\fightskill\daliduanshi\shenzhidianxue.spr	277	\audio\fightskill\shaolin\sl_lhq_m.wav		0	0	0			0	0	1	80	0	2	10	214	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	11	1	0	0	0		0					0	0	0	3	1	shenzhidianxue	Chỉ pháp sơ cấp Đại Lý Đoàn Thị, tấn công cận chiến một đối thủ.
Thần Chỉ Điểm Huyệt_Tử	Chủ động tấn công ngoại công	214	5	0	1		meleephysicalattack	1			1							0	0	0			0	0	0	0	0	0	0	136	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	11	1	0	0	0		0					0	0	0	3	1	shenzhidianxue	
Đoàn Thị Chỉ Pháp	Hỗ trợ bị động	215	3					1			-1			\image\icon\fightskill\daliduanshi\duanshizhifa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	duanshizhifa	Chỉ pháp nhập môn Đại Lý Đoàn Thị, tăng sát thương quyền.
Nhất Dương Chỉ	Chủ động hỗ trợ chiến đấu	216	1	5	1			1			-1			\image\icon\fightskill\daliduanshi\yiyangzhi.spr	278	\audio\fightskill\shaolin\sl_wxjz_m.wav		0	0	0			0	0	0	600	0	2	5	237	-1	1	0	11	0	0	0	0	0	0	180	0	1	0	0	enemy	0	0	0	0	0	0	0	30	10	11	1	0	0	0		0					0	1	0	0	1	yiyangzhi	Tụ khí ở đầu ngón tay bắn về phía địch cực nhanh, khiến họ bất động
Nhất Chỉ Càn Khôn	Chủ động tấn công ngoại công	217	1	5	1		meleephysicalattack	1			2			\image\icon\fightskill\daliduanshi\yizhiqiankun.spr	279	\audio\fightskill\shaolin\sl_lzhz_m.wav		0	0	0			0	0	1	80	0	2	8	218	-1	2	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	11	1	0	0	0		0					0	0	0	3	1	yizhiqiankun	Chỉ pháp trung cấp Đại Lý Đoàn Thị, tấn công cận chiến 2 lần một đối thủ.
Nhất Chỉ Càn Khôn_Tử	Chủ động tấn công ngoại công	218	5	0	1		meleephysicalattack	1			2							0	0	0			0	0	0	0	0	0	0	138	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	11	0	0	0	0		0					0	0	0	3	1	yizhiqiankun	
Lăng Ba Vi Bộ	Chủ động hỗ trợ chiến đấu	219	1	5	3		initiativefightassistant	1			-1			\image\icon\fightskill\daliduanshi\lingboweibu.spr	280	\audio\fightskill\gaibang\gb_hbls_h.wav	\audio\fightskill\gaibang\gb_hbls_h.wav	51	0	0			0	2	0	0	0	2	5	0	-1	1	0	11	-1	0	0	0	0	0	0	0	1	0	0	self	0	1174	0	0	0	0	0	40	20	0	0	0	0	0		0					1	0	0	0	1	lingboweibu	Tăng tốc độ chạy cực nhanh và né tránh hoàn toàn sự tấn công của đối thủ
Thí Nguyên Quyết	Hỗ trợ bị động	220	3					1			-1			\image\icon\fightskill\daliduanshi\shiyuanjue.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	shiyuanjue	Có tỷ lệ phản kích làm địch gần đó bị bất động và giảm chính xác
Thí Nguyên Quyết_Tử		221	5	1	1			1			-1							46	0	0			0	3	0	0	0	0	0	139	-1	1	1	14	-1	0	0	0	0	0	0	0	0	0	0	enemy	0	222	0	0	0	0	0	0	20	0	0	0	0	0		0					0	1	0	0	1	shiyuanjue_child1	
Thí Nguyên Quyết_Tử Tử		222	5	1	1			1			-1							0	0	0			0	3	0	0	0	0	0	139	-1	1	1	14	-1	0	0	0	0	0	0	0	0	0	0	enemy	0	1175	0	0	0	0	0	0	20	0	0	0	0	0		0					0	1	0	0	1	shiyuanjue_child2	
Càn Dương Thần Chỉ	Chủ động tấn công ngoại công	223	1	5	1		meleephysicalattack	1			2			\image\icon\fightskill\daliduanshi\qianyangshenzhi.spr	281			0	0	0			0	0	1	140	0	2	5	224	-1	2	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	11	1	0	0	0		0					0	0	0	3	1	qianyangshenzhi	Chỉ pháp cao cấp Đại Lý Đoàn Thị, tấn công xuyên 2 lần trong phạm vi nhỏ.
Càn Dương Thần Chỉ_Tử	Chủ động tấn công ngoại công	224	5	1	3		meleephysicalattack	1			2			\image\icon\fightskill\daliduanshi\qianyangshenzhi.spr				0	0	0			0	0	0	140	0	0	0	140	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	11	1	0	0	64		0					0	0	0	3	1	qianyangshenzhi	
Kim Ngọc Chỉ Pháp	Hỗ trợ bị động	225	3					1			-1			\image\icon\fightskill\daliduanshi\jinyuzhifa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	jinyuzhifa	Tăng xác suất hiệu quả tấn công và bỏ qua né tránh của đối thủ.
Phong Vân Biến Huyễn	Chủ động tấn công nội công	226	5	0	1		rangemagicattack	1			1			\image\icon\fightskill\daliduanshi\fengyunbianhuan.spr	282			0	0	0			0	0	0	520	0	0	0	141	-1	1	1	9	0	0	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	10	20	12	1	0	0	0		0					0	0	0	3	1	fengyunbianhuan	Kiếm khí sơ cấp Đại Lý Đoàn Thị, tấn công tầm xa một đối thủ.
Đoàn Thị Tâm Pháp	Hỗ trợ bị động	227	3					1			-1			\image\icon\fightskill\daliduanshi\duanshixinfa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	duanshixinfa	Tâm pháp nhập môn Đại Lý Đoàn Thị, tăng sát thương kiếm khí.
Bắc Minh Thần Công	Vòng sáng hỗ trợ phòng thủ	228	4	1	1		stolenassistant	1			-1			\image\icon\fightskill\daliduanshi\beimingshengong.spr				47	0	45			1	2	0	0	0	0	0	146	-1	1	1	14	-1	0	0	0	0	0	0	0	0	0	0	self	0	779	0	0	0	0	0	30	10	0	0	0	0	0		0					1	1	0	0	1	beimingshengong	Hóa giải sát thương nhất định cho mình và đồng đội trong vòng sáng.
Kim Ngọc Mãn Đường	Chủ động tấn công nội công	229	5	2	1		rangemagicattack	1			2			\image\icon\fightskill\daliduanshi\jinyumantang.spr	283			0	0	0			0	0	0	520	0	4	3	143	-1	5	1	9	0	0	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	50	20	12	1	0	0	96		0					0	0	0	3	1	jinyumantang	Kiếm khí trung cấp Đại Lý Đoàn Thị, phát ra rất nhiều đạo kiếm khí.
Thiên Nam Bộ Pháp	Chủ động hỗ trợ chiến đấu	230	2				initiativefightassistant	1			-1			\image\icon\fightskill\daliduanshi\tiannanbufa.spr	284	\audio\fightskill\gaibang\gb_hbls_h.wav	\audio\fightskill\gaibang\gb_hbls_h.wav	52	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	40	20	0	0	0	0	0		0					1	0	0	0	1	tiannanbufa	Khinh công Đại Lý Đoàn Thị, tăng tốc độ chạy bản thân.
Khô Vinh Thiền Công	Hỗ trợ bị động	231	3					1			-1			\image\icon\fightskill\daliduanshi\kumuchangong.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	kurongchangong	Khi sinh lực còn 25% thì giảm khả năng tấn công để tăng khả năng sinh tồn.
Lục Mạch Thần Kiếm	Chủ động tấn công nội công	232	5	2	3		rangemagicattack	1			2			\image\icon\fightskill\daliduanshi\liumaishenjian.spr	285			0	0	0			0	0	0	520	0	0	0	165	-1	1	1	11	-1	0	0	0	0	0	0	0	0	1	0	enemy	0	868	0	0	0	0	0	90	20	12	1	0	0	32		0					0	0	0	3	1	liumaishenjian	Phát ra 6 đạo kiếm khí, kèm hiệu quả ngũ hành, kiếm khí cuối lực cực mạnh.
Thiên Long Thần Công	Hỗ trợ bị động	233	3					1			-1			\image\icon\fightskill\daliduanshi\tianlongshengong.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	tianlongshengong	Tăng xác suất hiệu quả tấn công và tốc độ xuất chiêu
Thiên Tế Tấn Lôi_Lôi Trận	Chủ động tấn công nội công	234	5	5	2		rangemagicattack	1			3							0	0	0			0	0	0	0	0	4	24	124	-1	4	1	11	0	0	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	50	20	12	1	0	0	96		0					0	0	0	5	1	tianjixunlei_child	
Ngự Tuyết Ẩn_Chí mạng	Chủ động hỗ trợ chiến đấu	235	2					1			-1							48	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	30	10	0	0	0	0	0		0					0	0	0	0	1	yuxueyin_child	
Hiệu ứng bay Tiểu Lý Phi Đao		236	5	0	3			1			-1							0	0	0			0	0	0	520	0	0	0	145	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					0	0	0	1	1	empty	
Nhất Dương Chỉ & Tử		237	5	0	1		disable	1			-1							0	0	0			0	0	0	0	0	0	0	137	-1	1	1	11	0	0	0	0	0	0	0	0	1	0	0	enemy	0	0	0	0	0	0	0	30	10	11	1	0	0	0		0					0	0	0	0	1	yiyangzhi	
Hỗn Thiên Khí Công	Hỗ trợ bị động	238	3					1			-1			\image\icon\fightskill\gaibang\zuidiekuangwu.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	huntianqigong	Nội công cao cấp Cái Bang, tăng né tránh, tốc độ chạy và kháng của bản thân.
Thiên Vương Chiến Ý_Phe ta	Chủ động hỗ trợ tấn công	239	5	1	3		initiativeattackassistantally	1			-1			\image\icon\fightskill\tianwang\tianwwangzhanyi.spr	160			501	0	0			0	2	0	0	0	0	0	33	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	0	allynoself	0	0	0	0	0	0	0	0	20	0	0	0	0	0		0					0	0	0	0	1	tianwangzhanyi_ally	
Kim Chung Tráo_Phe ta	Chủ động hỗ trợ phòng thủ	240	5	1	3		initiativedefendassistantally	1			-1			\image\icon\fightskill\tianwang\jinzhongzhao.spr	161			502	0	0			0	2	0	0	0	0	0	37	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	0	allynoself	0	0	0	0	0	0	0	0	20	0	0	0	0	0		0					0	0	0	0	1	jinzhongzhao_ally	
Lưu Thủy Quyết_Đồng đội		241	4	1	1			1			-1							505	0	90			1	2	0	0	0	0	0	72	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	teamnoself	0	0	0	0	0	0	0	0	20	0	0	0	0	0		0					1	0	0	0	1	liushuijue_team	
Chân Vũ Thất Tiệt_Đồng đội		242	4	1	1			1			-1							509	0	45			1	2	0	0	0	0	0	109	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	teamnoself	0	0	0	0	0	0	0	0	20	0	0	0	0	0		0					1	0	0	0	1	zhenwuqijie_team	
Thất Tinh Quyết_Đồng đội		243	4	1	1			1			-1							510	0	45			1	2	0	0	0	0	0	113	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	teamnoself	0	0	0	0	0	0	0	0	20	0	0	0	0	0		0					1	0	0	0	1	qixingjue_team	
Tuyết Ánh Hồng Trần_Đồng đội		244	4	1	1			1			-1							508	0	45			1	2	0	0	0	0	0	82	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	0	teamnoself	0	0	0	0	0	0	0	0	20	0	0	0	0	0		0					1	0	0	0	1	xueyinghongchen_team	
Nhất Khí Tam Thanh_Phe ta	Chủ động hỗ trợ tấn công	245	5	1	3		initiativeattackassistantally	1			-1							512	0	0			0	2	0	0	0	0	0	120	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	0	allynoself	0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	yiqisanqing_ally	
Đạo Cốt Tiên Phong_Phe ta	Chủ động hỗ trợ phòng thủ	246	5	1	3		initiativedefendassistantally	1			-1							513	0	0			0	2	0	0	0	0	0	125	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	0	allynoself	0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	daoguxianfeng_ally	
Kim Qua Thiết Mã_Đồng đội		247	4	1	1			1			-1							514	0	45			1	2	0	0	0	0	0	130	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	teamnoself	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					1	0	0	0	1	jingetiema_team	
Vạn Vật Câu Phần_Phát tán	Chủ động tấn công nội công	248	5	4	1		rangemagicattack	1			1							0	0	0			0	0	0	0	0	2	1	147	-1	8	1	11	0	0	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	50	20	12	1	0	0	128		0					0	0	0	2	1	wanwujufen_child	
Khô Vinh Thiền Công_Tử		249	2					1			-1							117	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	50	20	0	0	0	0	0		0					0	0	0	0	1	kurongchangong_child	
Hàng Long Phục Hổ	Hỗ trợ bị động	250	3					1			-1			\image\icon\fightskill\shaolin\xianglongfuhu.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	60	10	0	0	0	0	0		0					0	0	0	0	1	xianglongfuhu	Phản đòn độc sát, khi bị đánh có tỷ lệ khiến đối thủ xung quanh bị chậm
Hàng Long Phục Hổ & Tử		251	5	1	1		disable	1			-1							0	0	0			0	3	0	0	0	0	0	148	-1	1	1	11	-1	0	0	0	0	0	0	0	0	0	0	enemy	0	793	0	0	0	0	0	0	10	0	0	0	0	0		0					0	1	0	0	1	xianglongfuhu_child	
Như Lai Thiên Diệp	Hỗ trợ bị động	252	3					1			-1			\image\icon\fightskill\shaolin\rulaiqianye.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	100	10	0	0	0	0	0		0					0	0	0	0	1	rulaiqianye	Tuyệt học trấn phái Thiếu Lâm, tăng toàn bộ năng lực chiến đấu đao pháp.
A La Hán Thần Công_Đồng đội	Vòng sáng hỗ trợ tấn công	253	4	1	1			1			1			\image\icon\fightskill\shaolin\aluohanshengong.spr				500	0	45			1	2	0	0	0	0	0	23	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	teamnoself	0	0	0	0	0	0	0	40	20	0	0	0	0	0		0					1	0	0	0	1	aluohanshengong_team	
Dịch Cốt Kinh	Hỗ trợ bị động	254	3					1			-1			\image\icon\fightskill\shaolin\yigujing.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	yigujing	Tuyệt kỹ nội công Thiếu Lâm, cường hóa toàn diện thể chất bản thân.
Vô Tướng Thần Công	Hỗ trợ bị động	255	3					1			-1			\image\icon\fightskill\shaolin\wuxiangshengong.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	100	10	0	0	0	0	0		0					0	0	0	0	1	wuxiangshengong	Tuyệt kỹ trấn phái Thiếu Lâm, tăng toàn bộ năng lực chiến đấu côn pháp.
Kinh Lôi Phá Thiên	Hỗ trợ bị động	256	3					1			-1			\image\icon\fightskill\tianwang\potianzhan.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	60	10	0	0	0	0	0		0					0	0	0	0	1	jingleipotian	Khi sinh lực còn 25% sẽ 0 chịu sát thương trong tức khắc, tăng lực tấn công
Kinh Lôi Phá Thiên_Tử		257	2					1			-1							131	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	-1	0	0	0	0	0	0	0	0	0	0	self	0	258	0	0	0	0	0	0	10	0	0	0	0	0		0					0	1	0	0	1	jingleipotian_child	
Kinh Lôi Phá Thiên_Tử Tử		258	2				stolenassistant	1			-1							130	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	0	1	jingleipotian_child2	
Huyết Chiến Bát Phương	Hỗ trợ bị động	259	3					1			-1			\image\icon\fightskill\tianwang\wuxinzhan.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	100	10	0	0	0	0	0		0					0	0	0	0	1	xuezhanbafang	Tuyệt học Thiên Vương, tăng toàn bộ năng lực chiến đấu thương pháp
Thiên Vương Bản Sinh	Hỗ trợ bị động	260	3					1			-1			\image\icon\fightskill\tianwang\tianwangbensheng.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	60	10	0	0	0	0	0		0					0	0	0	0	1	tianwangbensheng	Khi sinh lực còn 25% sẽ không chịu sát thương nào trong thời gian ngắn
Thiên Vương Bản Sinh_Tử		261	2				stolenassistant	1			-1							132	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	0	1	tianwangbensheng_child	
Bất Diệt Sát Ý	Hỗ trợ bị động	262	3					1			-1			\image\icon\fightskill\tianwang\zhenyupotianjin.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	100	10	0	0	0	0	0		0					0	0	0	0	1	bumieshayi	Tuyệt học trấn phái Thiên Vương, tăng toàn bộ năng lực chiến đấu chùy pháp.
Hấp Tinh Trận	Cạm bẫy	263	5	1	1		trap	1			-1			\image\icon\fightskill\tangmen\xixingzhen.spr	167	\audio\fightskill\tangmen\tm_dcg_h.wav	\audio\fightskill\tangmen\tm_dcg_h.wav	0	0	0			0	0	0	96	0	0	0	149	-1	1	1	11	-1	0	0	0	0	0	45	0	1	0	0	enemy	0	0	0	0	264	0	0	60	10	22	1	0	0	0		0					0	0	0	0	1	xixingzhen	Khiến địch phạm vi lớn hao nội lực, giảm hiệu suất hồi phục nội lực
Hấp Tinh Trận_Tử	Cạm bẫy	264	5	5	1		trap	1			-1							60	0	0			0	0	0	0	0	4	3	150	-1	3	1	11	0	0	0	0	0	0	0	0	1	0	0	enemy	0	0	0	0	0	0	0	0	10	0	1	0	0	256		0					0	0	0	0	1	xixingzhen_child	
Thực Cốt Huyết Nhẫn	Hỗ trợ bị động	265	3					1			-1			\image\icon\fightskill\tangmen\chuanyunren.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	100	10	0	0	0	0	0		0					0	0	0	0	1	shiguxueren	Tuyệt học trấn phái Đường Môn, tăng toàn bộ năng lực chiến đấu cạm bẫy.
Đoạn Cân Nhẫn	Chủ động hạn chế	266	5	3	1		disable	1			1			\image\icon\fightskill\tangmen\sanhuabiao.spr	239			133	0	0			0	0	0	520	0	0	0	151	-1	5	1	11	0	0	3	0	0	0	0	0	1	0	0	enemy	0	0	0	0	0	0	0	60	10	23	0	0	0	0		2					0	0	0	0	1	duanjinren	Địch bị đánh sẽ có tỷ lệ bất động, và vẫn bị bất động khi có chí mạng
Đoạn Cân Nhẫn_Tử		267	5	1	3		disable	1			-1							0	0	0			0	2	0	0	0	0	0	318	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	0	1	duanjinren_child	
Tâm Nhãn	Hỗ trợ bị động	268	3					1			-1			\image\icon\fightskill\tangmen\xinyan.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	100	10	0	0	0	0	0		0					0	0	0	0	1	xinyan	Tuyệt học trấn phái Đường Môn, tăng toàn bộ năng lực chiến đấu tụ tiễn.
Ôn Cổ Chi Khí	Bùa chú (bị động)	269	3					1			-1			\image\icon\fightskill\wudu\wenguzhiqi.spr				0	0	0			0	2	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	60	10	0	0	0	0	0		0					0	0	0	0	1	wenguzhiqi	Tự động thi triển khiến sinh lực địch còn 25% sẽ tung sương độc cự ly nhỏ
Ôn Cổ Chi Khí_Tử		270	5	1	3		specialattack	1										0	0	0			0	2	0	0	0	0	0	153	-1	1	1	11	-1	0	0	0	0	0	0	0	1	1	0	allynodialoger	0	898	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	2	1	wenguzhiqi_child2	
