Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
219	body	2		\image\effect\fightskill\kunlun\kl_30_qff_a.spr		0	1		Thanh Phong Phù
220	ground	1		\image\effect\fightskill\kunlun\kl_50_kfzd_a.spr		0	1		Cuồng Phong Sậu Điện
221	body	2		\image\effect\fightskill\kunlun\kl_70_yqsq_a.spr		0	1		Nhất Khí Tam Thanh
222	body	1		\image\effect\fightskill\kunlun\kl_90_axxf_a.spr		0	1		Ngạo Tuyết Tiếu Phong
223	ground	1		\image\effect\fightskill\kunlun\kl_10_klzd_a.spr		0	1		Cuồng Lôi Chấn Địa
224	ground	1		\image\effect\fightskill\kunlun\kl_50_tjxl_a.spr		0	1		Thiên Tế Tấn Lôi
225	ground	2		\image\effect\fightskill\kunlun\kl_70_dgxf_a.spr		0	1		Đạo Cốt Tiên Phong
226	body	1		\image\effect\fightskill\kunlun\kl_10_klzd_a.spr		0	1		Lôi Động Cửu Thiên
227	ground	1		\image\effect\fightskill\tianwang\tw_10_hfly_a.spr		0	1		Hồi Phong Lạc Nhạn
228	ground	1		\image\effect\fightskill\tianwang\tw_50_ygsd_a.spr		0	1		Dương Quan Tam Điệp
229	ground	1		\image\effect\fightskill\tianwang\tw_90_zxzy_a.spr		0	1		Truy Tinh Trục Nguyệt
230	ground	1		\image\effect\fightskill\tianwang\tw_10_xyj_a.spr		0	1		Hành Vân Quyết
231	ground	1		\image\effect\fightskill\tianwang\tw_50_zfj_a.spr		0	1		Truy Phong Quyết
232	ground	1		\image\effect\fightskill\tianwang\tw_90_clj_a.spr		0	1		Thừa Long Quyết
233	body	1		\image\effect\fightskill\shaolin\sl_10_lhq_a.spr		0	1		La Hán Chưởng
234	ground	2		\image\effect\fightskill\shaolin\sl_70_wxjz_a.spr		0	1		Vô Tướng Trảm Chỉ
235	body	1		\image\effect\fightskill\shaolin\sl_90_dmdj_a.spr		0	1		Đạt Ma Độ Giang
236	body	1		\image\effect\fightskill\tangmen\tm_10_cyr_a.spr		0	1		Xuyên Vân Nhẫn
237	body	2		\image\effect\fightskill\tangmen\tm_70_mqpz_a.spr		0	1		Di Khí Phiêu Tung
238	head	1		\image\effect\fightskill\tangmen\tm_90_shyy_a.spr		0	1		Nhiếp Hồn Nguyệt Ảnh
239	ground	1		\image\effect\fightskill\tangmen\tm_10_dhb_a.spr		0	1		Đoạt Hồn Tiêu
240	ground	1		\image\effect\fightskill\tangmen\tm_90_jgfx_a.spr		0	1		Cửu Cung Phi Tinh
241	ground	2		\image\effect\fightskill\wudu\wu_10_jtkl_a.spr		0	1		Cửu Thiên Cuồng Lôi
242	body	2		\image\effect\fightskill\wudu\wu_10_hxjm_a.spr		0	1		Hóa Huyết Tiệt Mạch
243	body	2		\image\effect\fightskill\wudu\wu_30_bphg_a.spr		0	1		Băng Phách Hàn Quang
244	ground	2		\image\effect\fightskill\wudu\wu_50_wgzq_a.spr		0	1		Ôn Cổ Chi Khí
245	body	2		\image\effect\fightskill\wudu\wu_70_cyst_a.spr		0	1		Xích Diệm Thực Thiên
246	body	2		\image\effect\fightskill\wudu\wu_90_djfg_a.spr		0	1		Đoạn Cân Hủ Cốt
247	body	2		\image\effect\fightskill\wudu\wu_90_cypj_a.spr		0	1		Xuyên Y Phá Giáp
248	ground	1		\image\effect\fightskill\emei\em_10_yyzq_a.spr		0	1		Nhất Diệp Tri Thu
249	ground	1		\image\effect\fightskill\emei\em_90_seqx_a.spr		0	1		Tam Nga Tế Tuyết
250	ground	2		\image\effect\fightskill\tianren\tr_30_sfz_a.spr		0	1		Thúc Phọc Chú
251	ground	2		\image\effect\fightskill\tianren\tr_50_hyfh_a.spr		0	1		Huyễn Ảnh Phi Hồ
252	ground	2		\image\effect\fightskill\tianren\tr_10_fhwj_a.spr		0	1		Phi Hồng Vô Tích
253	ground	2		\image\effect\fightskill\tianren\tr_70_nzxj_a.spr		0	1		Nghịch Chuyển Tâm Kinh
254	ground	2		\image\effect\fightskill\tianren\tr_90_hflh_a.spr		0	1		Càn Khôn Đại Na Di
255	body	2		\image\effect\fightskill\kunlun\kl_10_bdbq_a.spr		0	1		Bách Độc Bất Xâm
256	body	2		\image\effect\fightskill\kunlun\kl_10_xksy_a.spr		0	1		Hư Không Thiểm Ảnh
257	body	2		\image\effect\fightskill\kunlun\kl_50_qhax_a.spr		0	1		Khinh Hàn Ngạo Tuyết
258	body	2		\image\effect\fightskill\kunlun\kl_50_hswy_a.spr		0	1		Hóa Tủy Vô Ý
259	body	2		\image\effect\fightskill\kunlun\kl_70_zhkl_a.spr		0	1		Chân Hỏa Kháng Lực
260	body	2		\image\effect\fightskill\kunlun\kl_90_ltj_a.spr		0	1		Lôi Đình Quyết
261	body	2		\image\effect\fightskill\kunlun\kl_90_jgbp_a.spr		0	1		Kim Cang Bất Phá
262	ground	2		\image\effect\fightskill\public\rage_normal_a.spr		0	1		Nộ khí (Thường)
263	ground	2		\image\effect\fightskill\public\rage_gold_a.spr		0	1		Nộ khí (Kim)
264	ground	2		\image\effect\fightskill\public\rage_wood_a.spr		0	1		Nộ khí (Mộc)
265	ground	2		\image\effect\fightskill\public\rage_water_a.spr		0	1		Nộ khí (Thủy)
266	ground	2		\image\effect\fightskill\public\rage_fire_a.spr		0	1		Nộ khí (Hỏa)
267	ground	2		\image\effect\fightskill\public\rage_earth_a.spr		0	1		Nộ khí (Thổ)
268	ground	1		\image\effect\fightskill\mingjiao\mj_10_kts_a.spr		0	1		Khai Thiên Thức
269	ground	1		\image\effect\fightskill\mingjiao\mj_50_pds_a.spr		0	1		Phách Địa Thế
270	ground	1		\image\effect\fightskill\mingjiao\mj_90_lts_a.spr		0	1		Long Thôn Thức
271	ground	1		\image\effect\fightskill\mingjiao\mj_10_shfx_a.spr		0	1		Thánh Hỏa Phần Tâm
272	ground	2		\image\effect\fightskill\mingjiao\mj_30_mqpz_a.spr		0	1		Di Khí Phiêu Tung
273	ground	1		\image\effect\fightskill\mingjiao\mj_50_wwjf_a.spr		0	1		Vạn Vật Câu Phần
274	ground	2		\image\effect\fightskill\mingjiao\mj_50_pysf_a.spr		0	1		Phiêu Dực Thân Pháp
275	ground	2		\image\effect\fightskill\mingjiao\mj_70_qkdny_d.spr		0	1		Càn Khôn Đại Na Di
276	ground	1		\image\effect\fightskill\mingjiao\mj_90_shly_a.spr		0	1		Thánh Hỏa Liêu Nguyên
277	ground	1		\image\effect\fightskill\daliduanshi\ds_10_szdx_a.spr		0	1		Thần Chỉ Điểm Huyệt
278	ground	2		\image\effect\fightskill\daliduanshi\ds_30_yyz_a.spr		0	1		Nhất Dương Chỉ
279	ground	1		\image\effect\fightskill\daliduanshi\ds_50_yzqk_a.spr		0	1		Nhất Chỉ Càn Khôn
280	ground	2		\image\effect\fightskill\daliduanshi\ds_50_lbwb_a.spr		0	1		Lăng Ba Vi Bộ
281	ground	1		\image\effect\fightskill\daliduanshi\ds_90_qysz_a.spr		0	1		Càn Dương Thần Chỉ
282	ground	1		\image\effect\fightskill\daliduanshi\ds_10_fybh_a.spr		0	1		Phong Vân Biến Huyễn
283	ground	1		\image\effect\fightskill\daliduanshi\ds_50_jymt_a.spr		0	1		Kim Ngọc Mãn Đường
284	ground	2		\image\effect\fightskill\daliduanshi\ds_50_tnbf_a.spr		0	1		Thiên Nam Bộ Pháp
285	ground	1		\image\effect\fightskill\daliduanshi\ds_90_lmsj_a.spr		0	1		Lục Mạch Thần Kiếm
286	ground	1		\image\effect\fightskill\shaolin\sl_30_bdmw_a.spr		0	1		boss Tấn công nhiều đoạn quanh mình
287	ground	0		\image\effect\fightskill\emei\em_50_jyfg_d.spr		1	0		npc vòng sáng xanh
288	ground	2		\image\effect\fightskill\wudang\wd_50_cywj_a.spr		0	1		Thuần Dương Vô Cực
289	ground	2		\image\effect\fightskill\gaibang\gb_60_scll_a.spr		0	1		Thời Thừa Lục Long
290	ground	0		\image\effect\fightskill\wudu\wu_90_djfg_a.spr	\image\icon\fightskill\state\kurongchangong.spr	1	0		Lục Dương Dung Tuyết Công
291		1			\image\icon\fightskill\state\yumashu.spr	1	1		Trạng thái chinh chiến<enter>Chỉ có thể chiến đấu khi người khác có cùng trạng thái
292		0			\image\icon\fightskill\state\kurongchangong.spr	1	1		Khi cường hóa trang bị, bạc (bạc khóa) cần dùng giảm 20%
293		0			\image\icon\fightskill\state\tianwangbensheng.spr	1	1		Bảo vệ thành chính
294	ground	0		\image\effect\fightskill\npc\npc_aura_m.spr	\image\icon\fightskill\state\weak.spr	1	1	2	Quân uy<enter>Khi ở trong đại doanh hoặc hay khi ở gần Chiến Thần Tống Kim, sức mạnh sẽ tăng.<enter>
295		0			\image\icon\fightskill\state\duanjinren.spr	1	1		Biến thân Tranh đoạt lãnh thổ
296		1			\image\icon\fightskill\state\lock.spr	0	0		Đổi môn phái đang chờ, không thể thay đổi được
297	body	1		\image\effect\fightskill\shaolin\sl_70_jgbh_b.spr	\image\icon\fightskill\state\jingangbuhuai.spr	1	1	3	Kim Cang Bất Hoại
298	head	1			\image\icon\fightskill\state\pijingzhanji.spr	1	1	3	Phi Kinh Trảm Thích
299	head	1		\image\effect\fightskill\wudu\wu_10_hxjm_b.spr	\image\icon\fightskill\state\huaxuejiemai1.spr	1	0	3	Hóa Huyết Tiệt Mạch
300	body	1		\image\effect\fightskill\wudu\wu_70_hxjm_b.spr	\image\icon\fightskill\state\huaxuejiemai2.spr	1	1	3	Hóa Huyết Tiệt Mạch
301	body	1		\image\effect\fightskill\wudu\wu_70_qds_a.spr	\image\icon\fightskill\state\zhuifengduji.spr	1	1	3	Truy Phong Độc Thích
302	head	1		\image\effect\fightskill\emei\em_70_jdmz_b.spr	\image\icon\fightskill\state\jindingmianzhang.spr	1	1	3	Kim Đỉnh Miên Chưởng
303	ground	0			\image\icon\fightskill\state\toulongzhuanfeng.spr	1	1	3	Thâu Long Chuyển Phượng
304	ground	0		\image\effect\fightskill\wudang\wd_70_lyxf_b.spr	\image\icon\fightskill\state\liangyixinfa.spr	1	1	3	Lưỡng Nghi Tâm Pháp
305	ground	1				0	1		Lưu Tinh Cản Nguyệt
306	body	1		\image\effect\fightskill\kunlun\kl_70_lyzq_b.spr	\image\icon\fightskill\state\liangyizhenqi.spr	1	1	3	Lưỡng Nghi Chân Khí
307	head	1		\image\effect\fightskill\wudu\wu_30_bphg_b.spr	\image\icon\fightskill\state\yudalihua.spr	1	0	3	Băng Phách Hàn Quang
308	head	1		\image\effect\fightskill\cuiyan\cy_70_ydlh_b.spr	\image\icon\fightskill\state\yudalihua.spr	1	1	3	Vũ Đả Lê Hoa
309	head	1		\image\effect\fightskill\public\tabingjue.spr	\image\icon\fightskill\state\tabingjue.spr	1	1	3	Đạp Băng Quyết
310	head	1		\image\effect\fightskill\public\chengshuangshi.spr	\image\icon\fightskill\state\chengshuangshi.spr	1	1	3	Thừa Sương Thức
311	head	1		\image\effect\fightskill\public\xueyingwu.spr	\image\icon\fightskill\state\xueyingwu.spr	1	1	3	Tuyết Ảnh Vũ
312	head	1		\image\effect\fightskill\public\jianbingyu.spr	\image\icon\fightskill\state\jianbingyu.spr	1	1	3	Kiên Băng Ngự
313		1			\image\icon\fightskill\state\autocd1.spr	1	0		Thí Nguyên Quyết đang chờ, không thể thi triển lần nữa
314		1			\image\icon\fightskill\state\autocd1.spr	1	0		Bất Động Minh Vương đang chờ, không thể thi triển lần nữa
315		1			\image\icon\fightskill\state\autocd1.spr	1	0		Ôn Cổ Chi Khí đang chờ, không thể thi triển lần nữa
316		1			\image\icon\fightskill\state\autocd1.spr	1	0		Khô Vinh Thiền Công đang chờ, không thể thi triển lần nữa
317		1			\image\icon\fightskill\state\autocd1.spr	1	0		Hàng Long Phục Hổ đang chờ, không thể thi triển lần nữa
318		1			\image\icon\fightskill\state\autocd1.spr	1	0		Kinh Lôi Phá Thiên đang chờ, không thể thi triển lần nữa
319		1			\image\icon\fightskill\state\autocd1.spr	1	0		Thiên Vương Bản Sinh đang chờ, không thể thi triển lần nữa
320		1			\image\icon\fightskill\state\autocd1.spr	1	0		Đoạn Cân Nhẫn đang chờ, không thể thi triển lần nữa
321		1			\image\icon\fightskill\state\autocd1.spr	1	0		Khu Độc Thuật đang chờ, không thể thi triển lần nữa
322		1			\image\icon\fightskill\state\autocd1.spr	1	0		Bất Diệt Bất Tuyệt đang chờ, không thể thi triển lần nữa
323		1			\image\icon\fightskill\state\autocd1.spr	1	0		Huyền Băng Vô Tức đang chờ, không thể thi triển lần nữa
324		1			\image\icon\fightskill\state\autocd2.spr	1	0		Từ Bi Quyết đang chờ, không thể thi triển lần nữa
325		1			\image\icon\fightskill\state\autocd2.spr	1	0		Lục Kiếm Tề Phát đang chờ, không thể thi triển lần nữa
326		1			\image\icon\fightskill\state\autocd2.spr	1	0		Kim Cang Bất Hoại đang chờ, không thể thi triển lần nữa
327		1			\image\icon\fightskill\state\autocd1.spr	1	0		Hóa Huyết Tiệt Mạch đang chờ, không thể thi triển lần nữa
328		1			\image\icon\fightskill\state\autocd2.spr	1	0		Truy Phong Độc Thích đang chờ, không thể thi triển lần nữa
329		1			\image\icon\fightskill\state\autocd2.spr	1	0		Kim Đỉnh Miên Chưởng đang chờ, không thể thi triển lần nữa
330		1			\image\icon\fightskill\state\autocd2.spr	1	0		Đạp Tuyết Vô Ngấn đang chờ, không thể thi triển lần nữa
331		1			\image\icon\fightskill\state\autocd1.spr	1	0		Lưỡng Nghi Tâm Pháp đang chờ, không thể thi triển lần nữa
332		1			\image\icon\fightskill\state\autocd1.spr	1	0		Lưỡng Nghi Chân Khí đang chờ, không thể thi triển lần nữa
333		0			\image\icon\fightskill\state\kurongchangong.spr	1	1		Tiêu phí đồng tại Kỳ Trân Các hoàn trả 20%
334	ground	0		\image\effect\fightskill\public\guanxian_halo_1.spr		1	0	1	Vòng sáng quan hàm 1
335	ground	0		\image\effect\fightskill\public\guanxian_halo_2.spr		1	0	1	Vòng sáng quan hàm 2
336	ground	0		\image\effect\fightskill\public\guanxian_halo_3.spr		1	0	1	Vòng sáng quan hàm 3
337	ground	0		\image\effect\fightskill\public\guanxian_halo_4.spr		1	0	1	Vòng sáng quan hàm 4
338	ground	0		\image\effect\fightskill\public\guanxian_halo_5.spr		1	0	1	Vòng sáng quan hàm 5
339	ground	0		\image\effect\fightskill\public\guanxian_halo_6.spr		1	0	1	Vòng sáng quan hàm 6
340	ground	0		\image\effect\fightskill\public\guanxian_halo_7.spr		1	0	1	Vòng sáng quan hàm 7
341	ground	0		\image\effect\fightskill\public\guanxian_halo_8.spr		1	0	1	Vòng sáng quan hàm 8
342		0			\image\icon\fightskill\state\jianbingyu.spr	1	0		Hiển thị khi tách cường hóa trang bị
343		0			\image\icon\fightskill\state\tongweixianhua_child.spr	1	1		Thông Vi Hiển Hóa
344	ground	0		\image\effect\other\deadaura.spr		1	0	1	
345		1	Hide		\image\icon\fightskill\state\huihunjue_state.spr	1	1	1	Ẩn thân
346		1			\image\icon\fightskill\state\zhuihunyin_state.spr	1	1	2	Truy Hồn Dẫn
347		1			\image\icon\fightskill\state\zhaohunqu_state.spr	1	1	2	Chiêu Hồn Khúc
348		0			\image\icon\fightskill\state\miqipiaozong.spr	1	1		Trong lúc Ủy thác trên mạng<enter>Dưới trạng thái hiện tại không thể di chuyển
349	head	2		\image\effect\other\state_onlineexp_vn.spr		1	0		Trạng thái tự động tìm đường
350	ground	0		\image\effect\fightskill\public\guanxian_halo_8.spr	\image\icon\fightskill\state\qixingjue.spr	1	1	2	npc Dùng buff Hoàng đế
351		1			\image\icon\fightskill\state\wenguzhiqi.spr	1	0		Khí độc quanh thân, công lực giảm mạnh.
352		1			\image\icon\fightskill\state\zhaohunqu_state.spr	1	1		Tinh hoa của trời, giải được bách độc.
353		0			\image\icon\fightskill\state\tianwangbensheng.spr	1	1		Sơ Chiến Sa Trường
354	body	1		\image\effect\other\statue_aura1.spr		1	0		
355	body	1		\image\effect\other\statue_aura2.spr		1	0		
356	body	1		\image\effect\other\vip_aura.spr		1	0		
357	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b2.spr	\image\icon\fightskill\state\shiyuanjue.spr	1	1	3	Thí Nguyên Quyết
358	head	1		\image\effect\fightskill\gaibang\gb_110_qlg_b.spr	\image\icon\fightskill\state\qinlonggong.spr	1	1	3	Trảo Long Công
359	ground	1		\image\effect\fightskill\wudang\wd_60_tyzq_b.spr	\image\icon\fightskill\state\taiyizhenqi.spr	1	1	3	Thái Ất Chân Khí
360	body	1		\image\effect\fightskill\tianwang\tw_110_blzlq_b.spr		1	1		Bôn Lôi Toàn Long Thương
361	head	1			\image\icon\fightskill\state\zhanlongjue.spr	1	1		Trảm Long Quyết
362	ground	1		\image\effect\fightskill\shaolin\sl_110_zbxg_c.spr		0	1		Túy Bát Tiên Côn
363	ground	1		\image\effect\fightskill\wudu\wu_10_xdds_a.spr		0	1		Chu Cáp Thanh Minh
364	ground	1		\image\effect\fightskill\wudu\wu_10_dsz_a.spr		0	1		Hóa Cốt Miên Chưởng
365	ground	1		\image\effect\fightskill\emei\em_110_fgzq_a.spr		0	1		Phật Quang Chiến Khí
366	ground	1		\image\effect\fightskill\emei\em_110_jyfg_a.spr		0	1		Kiếm Ảnh Phật Quang
367	head	1		\image\effect\fightskill\daliduanshi\ds_110_mdz_b.spr	\image\icon\fightskill\state\miaodizhi.spr	1	1	3	Diệu Đề Chỉ_Khí
368	ground	1				0	1		Phi Hồng Vô Tích
369	head	1			\image\icon\fightskill\state\mizhonghuanying.spr	1	1		Mê Tung Huyễn Ảnh
370	body	1		\image\effect\fightskill\mingjiao\mj_110_shlf_a.spr		0	1		Thánh Hỏa Lệnh Pháp
371	ground	0		\image\effect\fightskill\kunlun\kl_110_wrww_d.spr		0	1		Vô Nhân Vô Ngã
372	head	1		\image\effect\fightskill\kunlun\kl_110_wrww_b.spr	\image\icon\fightskill\state\wurenwuwo.spr	1	1	2	Vô Nhân Vô Ngã
373	body	1		\image\effect\fightskill\cuiyan\cy_70_yxy_a.spr		0	1		Lôi Đình Quyết
374	ground	1		\image\effect\fightskill\kunlun\kl_90_ltj_a.spr	\image\icon\fightskill\state\leitingjue.spr	1	0	2	Lôi Đình Quyết
375	body	1		\image\effect\fightskill\tangmen\tm_110_qjsg_b.spr	\image\icon\fightskill\state\qijueshaguang.spr	1	1	3	Thất Tuyệt Sát Quang
376	head	1		\image\effect\fightskill\wudu\wu_110_hgmz_b.spr	\image\icon\fightskill\state\huagumianzhang.spr	1	0	3	Hóa Cốt Miên Chưởng
377	head	1		\image\effect\fightskill\mingjiao\mj_110_jxhy_b.spr	\image\icon\fightskill\state\jiuxihunyang.spr	1	1	3	Cửu Hi Hỗn Dương
378	body	1		\image\effect\fightskill\mingjiao\mj_110_shlf_b.spr	\image\icon\fightskill\state\shenghuolingfa.spr	1	1	3	Thánh Hỏa Lệnh Pháp
379	ground	1		\image\effect\fightskill\emei\em_110_fgzq_b.spr	\image\icon\fightskill\state\foguangzhanqi.spr	1	1	2	Phật Quang Chiến Khí
380	body	2		\image\effect\fightskill\cuiyan\cy_110_smmf_d.spr		0	1		Thập Diện Mai Phục
381		1			\image\icon\fightskill\state\autocd1.spr	1	0		Thất Tuyệt Sát Quang đang đợi thi triển
382		1			\image\icon\fightskill\state\autocd2.spr	1	0		Cửu Hi Hỗn Dương đang đợi thi triển
383		1			\image\icon\fightskill\state\autocd2.spr	1	0		Quy Khứ Lai Hề đang đợi thi triển
384		1			\image\icon\fightskill\state\autocd2.spr	1	0		Trảo Long Công đang đợi thi triển
385		1			\image\icon\fightskill\state\autocd1.spr	1	0		Thúc Phọc Chú đang đợi thi triển
386		1			\image\icon\fightskill\state\autocd2.spr	1	0		Thái Ất Chân Khí đang đợi thi triển
387	ground	0		\image\effect\fightskill\tianren\tr_110_sfz_b.spr	\image\icon\fightskill\state\huabuliushou.spr	1	1	3	Thúc Phọc Chú
388	head	1		\image\effect\fightskill\cuiyan\cy_110_smmf_b.spr	\image\icon\fightskill\state\yuxueyin.spr	1	1	3	Thập Diện Mai Phục
389	ground	1		\image\effect\fightskill\wudang\wd_110_wdjyg_a.spr		0	1		Vạn Kiếm Quy Tông
390	ground	0		\image\effect\fightskill\wudang\wd_110_wdjyg_b.spr	\image\icon\fightskill\state\chuanxinduci.spr	1	1	3	Kiếm Tâm Thông Dụng
391	ground	0		\image\effect\fightskill\kunlun\kl_110_ltj_b.spr	\image\icon\fightskill\state\leitingjue.spr	1	1	2	Lôi Đình Quyết
392	ground	0		\image\effect\fightskill\tianren\tr_110_fhwj_b.spr		1	1		Phi Hồng Vô Tích
393	ground	1		\image\effect\fightskill\daliduanshi\ds_110_jtyj_a.spr		0	1		Kinh Thiên Nhất Kiếm
394	body	1		\image\effect\fightskill\gaibang\gb_10_ymtb_a.spr		0	1		Đả Cẩu Trận Pháp
395	head	1			\image\icon\fightskill\state\chengshuangshi.spr	1	1	3	Hiệu quả của bao tay
396	body	1		\image\effect\fightskill\shaolin\sl_100_rysgg_b.spr	\image\icon\fightskill\state\ruyisuogugong.spr	0	1	3	Như Ý Thúc Cốt Công
397	ground	1		\image\effect\fightskill\tianwang\tw_100_lhdmq_b.spr	\image\icon\fightskill\state\lianhuanduomingqiang.spr	1	1	3	Liên Hoàn Đoạt Mệnh
398	ground	1		\image\effect\fightskill\emei\em_100_wxsg_a.spr	\image\icon\fightskill\state\wanxiangshengong.spr	0	1	2	Vạn Tướng Thần Công 
399	head	1		\image\effect\fightskill\gaibang\gb_100_bwxj_b.spr	\image\icon\fightskill\state\bawangxiejia.spr	1	1	3	Bá Vương Tá Giáp
400		0			\image\icon\fightskill\state\piaoyishenfa.spr	1	1	2	Nguyệt Hoa Thiên Lý
401	ground	0		\image\effect\other\beauty_1.spr		1	0		
402	ground	0		\image\effect\other\beauty_2.spr		1	0		
403	ground	0		\image\effect\other\beauty_3.spr		1	0		
404	head	1		\image\effect\other\radish.spr		1	0		Hiệu ứng La Bặc
405		0			\image\icon\fightskill\state\bootskill_s.spr	1	1	2	Du Long Chân Khí
406	ground	1		\image\effect\other\wldh_aura_1.spr		1	0	1	
407	ground	1		\image\effect\other\wldh_aura_2.spr		1	0	1	
408	ground	1		\image\effect\other\wldh_aura_3.spr		1	0	1	
409	body	1		\image\effect\other\vip_aura_2.spr		1	0		
410	body	1		\image\effect\other\vip_aura_3.spr		1	0		
411	ground	0		\image\effect\fightskill\gaibang\gb_100_mcqh_b.spr	\image\icon\fightskill\state\mingchaqiuhao.spr	1	1	2	Minh Sát Thu Hào
412	head	1			\image\icon\fightskill\state\autocd1.spr	1	0		Bá Vương Tá Giáp đang được sử dụng.
413	head	1			\image\icon\fightskill\state\autocd1.spr	1	0		Mục Dã Ưng Dương đang được sử dụng.
414	ground	1		\image\effect\fightskill\public\rage_earth_c2.spr	\image\icon\fightskill\state\fukong.spr	1	0		Phù Không, không thể di chuyển, không thể xuất chiêu
415	ground	0	Red		\image\icon\fightskill\state\zhican.spr	1	0		Chí Tàn, không thể dùng khinh công
416	body	1		\image\effect\other\deadaura.spr	\image\icon\fightskill\state\lianyufugu.spr	1	0		Luyện Ngục Hủ Cổ 
417	head	1		\image\effect\fightskill\tianren\tr_100_nzxj_b.spr	\image\icon\fightskill\state\nizhuanxinjing.spr	1	0		Nghịch Chuyển Tâm Kinh_Trói buộc
418	ground	1		\image\effect\fightskill\tianwang\tw_100_qkc_b.spr	\image\icon\fightskill\state\qiankunchui.spr	1	1	3	Càn Khôn Đảo Huyền 
419		1			\image\icon\fightskill\state\autocd2.spr	1	0		Nghịch Chuyển Tâm Kinh đang được sử dụng.
420	head	0			\image\icon\fightskill\state\fanliangyidaofa.spr	1	0	2	Phản Lưỡng Nghi Đao Pháp 
421	head	1			\image\icon\fightskill\state\autocd2.spr	1	0		Nghịch Chuyển Tâm Kinh đang được sử dụng.
422	head	0		\image\effect\fightskill\wudu\wu_30_bphg_b.spr	\image\icon\fightskill\state\yufengshu.spr	1	0	3	Ngự Phong Thuật
423	head	1		\image\effect\fightskill\tangmen\tm_90_shyy_a.spr	\image\icon\fightskill\state\jiuquyiheqiang.spr	1	1	2	Cửu Khúc Hợp Thương
424	body	1		\image\effect\fightskill\npc\npc_l_melee_earth_d.spr	\image\icon\fightskill\state\lianshenhuanxu.spr	1	1	2	Luyện Thần Hoàn Hư
425		1			\image\icon\fightskill\state\autocd1.spr	1	0		Như Ý Thúc Cốt Công đang chờ, không thể thi triển lần nữa
426		1			\image\icon\fightskill\state\autocd2.spr	1	0		Luyện Thần Hoàn Hư đang chờ, không thể thi triển lần nữa
427	body	1		\image\effect\fightskill\shaolin\sl_10_fmdf_a.spr		0	1		Đại Thừa Như Lai Chú_Đặc hiệu xuất chiêu
428	body	1		\image\effect\fightskill\tangmen\tm_100_cyj_a.spr		0	1		Xuyên Vân Tiễn_Đặc hiệu xuất chiêu
429	body	1		\image\effect\fightskill\cuiyan\cy_100_fxph_a.spr		0	1		Phi Tự Phiêu Hoa_Đặc hiệu xuất chiêu
430		0			\image\icon\fightskill\state\partner\shanchutongban.spr	1	0		Xin xóa đồng hành
431		0			\image\icon\fightskill\state\partner\tongbanchongsheng.spr	1	0		Xin trùng sinh đồng hành
432		0			\image\icon\fightskill\state\partner\chushouxiangzhu.spr	1	1		Giúp đỡ<enter>Hiện đồng hành đang giúp đỡ bạn
433	body	1		\image\effect\fightskill\cuiyan\cy_100_ylxf_a.spr		0	1		Dạ Lai Tây Phong_Đặc hiệu xuất chiêu
434	body	1		\image\effect\fightskill\kunlun\kl_100_flydf_a.spr		0	1		Phản Lưỡng Nghi Đao Pháp_Đặc hiệu xuất chiêu
435	body	1		\image\effect\fightskill\kunlun\kl_100_yfs_a.spr		0	1		Ngự Phong Thuật_Đặc hiệu xuất chiêu
436	body	1		\image\effect\fightskill\mingjiao\mj_100_hpfy_a.spr		0	1		Hồn Phách Phi Dương_Đặc hiệu xuất chiêu
437	body	1		\image\effect\fightskill\daliduanshi\ds_100_xbjj_a.spr		0	1		Huyền Băng Cửu Kiếp_Đặc hiệu xuất chiêu
438	body	1		\image\effect\fightskill\shaolin\sl_100_dcrlz_c.spr		1	1		Bỏ
439	head	0			\image\icon\fightskill\state\fanliangyidaofa.spr	1	1	2	Lưỡng Nghi Hóa Hình
440	head	1			\image\icon\fightskill\state\slowrun.spr	1	0		Mệt mỏi
447	head	1		\image\icon\fightskill\effect\other\state_boss.spr	\image\icon\fightskill\state\tianwangbensheng.spr	1	1	3	Thiên Hà Hộ Thể
448		1			\image\icon\fightskill\state\autocd1.spr	1	0		Thiên Hà Hộ Thể đang chờ, không thể thi triển lúc này
449		0			\image\icon\fightskill\state\yumashu.spr	1	1		Sĩ khí<enter>Điểm Tài Nguyên chiếm lĩnh càng nhiều, lợi ích nhận được càng cao.<enter>Cấp 4 tăng lên cấp 5 sẽ tăng nhiều hơn
450	head	1		\image\effect\other\tongbanshuofuzhong_vn.spr		1	0		Đang thuyết phục
451	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b2.spr		1	0		Đang thuyết phục
452		0			\image\icon\fightskill\state\boluoxinjing.spr	0	1		Đồng hành
453	body	1		\image\effect\fightskill\public\jiehun\qiuhunguanghuan_m.spr		1	0	2	Vòng sáng cầu hôn nam
454	body	1		\image\effect\fightskill\public\jiehun\qiuhunguanghuan_f.spr		1	0	2	Vòng sáng cầu hôn nữ
455	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	Thiên Canh Chiến Khí
456	ground	0		\image\effect\fightskill\shaolin\sl_70_alhsg_b.spr	\image\icon\fightskill\state\aluohanshengong.spr	1	1	2	Di Hoa Tiếp Mộc
